2021-12-24 00:12:39 INFO  ManageDriver :33 - Launching Chrome Browser
2021-12-24 00:12:215 INFO  ManageDriver :33 - Launching Chrome Browser
2021-12-24 12:12:148 INFO  ManageDriver :33 - Launching Chrome Browser
2021-12-24 12:12:644 INFO  HomePage :36 - Search in the search bar[[ChromeDriver: chrome on WINDOWS (0ebc91a01e54c3a57e65ea657873ddae)] -> xpath: //input[@id='twotabsearchtextbox']]
2021-12-24 12:12:805 INFO  HomePage :42 - Click on the search button[[ChromeDriver: chrome on WINDOWS (0ebc91a01e54c3a57e65ea657873ddae)] -> id: nav-search-submit-button]
2021-12-24 12:12:405 INFO  ManageDriver :33 - Launching Chrome Browser
2021-12-24 13:12:767 INFO  HomePage :36 - Search in the search bar[[ChromeDriver: chrome on WINDOWS (f15c8d86646f1ae3954575314c55f3b0)] -> xpath: //input[@id='twotabsearchtextbox']]
2021-12-24 13:12:659 INFO  HomePage :42 - Click on the search button[[ChromeDriver: chrome on WINDOWS (f15c8d86646f1ae3954575314c55f3b0)] -> id: nav-search-submit-button]
2021-12-24 13:12:429 INFO  ManageDriver :33 - Launching Chrome Browser
2021-12-24 13:12:12 INFO  ManageDriver :33 - Launching Chrome Browser
2021-12-24 13:12:548 INFO  HomePage :36 - Search in the search bar[[ChromeDriver: chrome on WINDOWS (fd0251f1eadfd9df2910321a010799c7)] -> xpath: //input[@id='twotabsearchtextbox']]
2021-12-24 13:12:627 INFO  HomePage :42 - Click on the search button[[ChromeDriver: chrome on WINDOWS (fd0251f1eadfd9df2910321a010799c7)] -> id: nav-search-submit-button]
2021-12-24 13:12:327 INFO  FindYourProductPage :58 - Click on the checkbox[[ChromeDriver: chrome on WINDOWS (fd0251f1eadfd9df2910321a010799c7)] -> id: p_89/Lenovo]
2021-12-24 13:12:531 INFO  ManageDriver :33 - Launching Chrome Browser
2021-12-24 13:12:724 INFO  ManageDriver :33 - Launching Chrome Browser
2021-12-24 13:12:336 INFO  HomePage :36 - Search in the search bar[[ChromeDriver: chrome on WINDOWS (56186289aac16f31bcf43d404d2e345c)] -> xpath: //input[@id='twotabsearchtextbox']]
2021-12-24 13:12:69 INFO  HomePage :42 - Click on the search button[[ChromeDriver: chrome on WINDOWS (56186289aac16f31bcf43d404d2e345c)] -> id: nav-search-submit-button]
2021-12-24 13:12:303 INFO  FindYourProductPage :64 - Click on the check box[[ChromeDriver: chrome on WINDOWS (56186289aac16f31bcf43d404d2e345c)] -> id: p_89/Nokia]
2021-12-24 13:12:643 INFO  ManageDriver :33 - Launching Chrome Browser
2021-12-24 13:12:330 INFO  HomePage :36 - Search in the search bar[[ChromeDriver: chrome on WINDOWS (3b3742920b696fdf0b229c744fa84a65)] -> xpath: //input[@id='twotabsearchtextbox']]
2021-12-24 13:12:446 INFO  HomePage :42 - Click on the search button[[ChromeDriver: chrome on WINDOWS (3b3742920b696fdf0b229c744fa84a65)] -> id: nav-search-submit-button]
2021-12-24 13:12:109 INFO  FindYourProductPage :59 - Click on the checkbox[[ChromeDriver: chrome on WINDOWS (3b3742920b696fdf0b229c744fa84a65)] -> id: p_89/Lenovo]
2021-12-24 13:12:454 INFO  ManageDriver :33 - Launching Chrome Browser
2021-12-24 13:12:892 INFO  HomePage :36 - Search in the search bar[[ChromeDriver: chrome on WINDOWS (474743dc9470a35708437464aaea2bfd)] -> xpath: //input[@id='twotabsearchtextbox']]
